,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
7,6,Duke,1-0,1405,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Duke
8,7,Florida,3-0,1297,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Florida
9,8,Oklahoma,2-1,1294,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Oklahoma
10,9,Michigan State,1-0,1156,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Michigan State
11,10,Oregon,1-0,1066,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Oregon
12,11,Maryland,1-0,915,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Maryland
13,12,Connecticut,1-0,844,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Connecticut
14,13,Marquette,3-0,776,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Marquette
15,14,UCLA,0-0,759,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),UCLA
16,15,Kentucky,0-0,670,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Kentucky
17,16,Xavier,2-1,643,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Xavier
18,17,Georgia,1-1,606,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Georgia
19,18,Missouri,1-0,506,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Missouri
20,19,Indiana,0-0,463,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Indiana
21,20,Gonzaga,1-0,454,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Gonzaga
22,21,Cincinnati,1-0,325,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Cincinnati
23,22,Tulsa,2-0,265,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Tulsa
24,23,Mississippi State,0-1,233,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Mississippi State
25,24,Minnesota,1-0,198,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Minnesota
26,25,Wisconsin,3-0,97,AP Top 25,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Wisconsin
2,1,Arizona (27),1-0,771,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Arizona
3,2,Kansas (4),2-0,743,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Kansas
4,3,Texas,2-0,658,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Texas
5,4,Duke,1-0,632,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Duke
6,5,Pittsburgh,1-0,631,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Pittsburgh
7,6,Alabama,2-0,589,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Alabama
8,7,Florida,3-0,584,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Florida
9,8,Oklahoma,2-1,571,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Oklahoma
10,9,Oregon,1-0,525,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Oregon
11,10,Michigan State,1-0,497,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Michigan State
12,11,Maryland,1-0,391,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Maryland
13,12,Connecticut,1-0,375,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Connecticut
14,13,Marquette,3-0,338,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Marquette
15,14,UCLA,0-0,334,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),UCLA
16,15,Xavier,2-1,286,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Xavier
17,16,Kentucky,0-0,262,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Kentucky
18,17,Missouri,1-0,242,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Missouri
19,18,Georgia,1-1,239,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Georgia
20,19,Cincinnati,1-0,189,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Cincinnati
21,20,Indiana,0-0,179,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Indiana
22,21,Gonzaga,1-0,137,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Gonzaga
23,22,Minnesota,1-0,132,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Minnesota
24,23,Mississippi State,0-1,121,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Mississippi State
25,24,Tulsa,2-0,81,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Tulsa
26,25,Illinois,1-0,77,USA Today Coaches Poll,2002-03,3,2003 NCAA Men's Basketball Rankings -  Week 3 (Nov. 25),Illinois
2,1,Arizona (71),2-0,1799,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Arizona
3,2,Texas,4-0,1650,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Texas
4,3,Alabama,4-0,1620,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Alabama
5,4,Duke,3-0,1550,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Duke
6,5,Pittsburgh (1),3-0,1543,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Pittsburgh
7,6,Oklahoma,3-1,1321,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Oklahoma
8,7,Oregon,3-0,1227,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Oregon
9,8,Florida,4-1,1147,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Florida
10,9,Maryland,3-0,1113,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Maryland
11,10,Indiana,4-0,1044,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Indiana
12,11,Connecticut,3-0,1001,AP Top 25,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Connecticut
