,RK,TEAM,RECORD,PTS,POLL,SEASON,WEEK,TITLE,TEAM_PARSED
18,17,Minnesota,2-0,235,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Minnesota
19,18,Kentucky,2-1,229,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Kentucky
20,19,Tulsa,3-0,192,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Tulsa
21,20,Illinois,3-0,165,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Illinois
22,21,Michigan State,2-2,128,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Michigan State
23,22,Stanford,4-1,122,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Stanford
24,23,Virginia,3-1,99,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Virginia
25,24,Mississippi State,2-1,79,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Mississippi State
26,25,Gonzaga,2-2,74,USA Today Coaches Poll,2002-03,4,2003 NCAA Men's Basketball Rankings -  Week 4 (Dec. 2),Gonzaga
2,1,Arizona (70),4-0,1774,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Arizona
3,2,Alabama,6-0,1637,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Alabama
4,3,Duke,5-0,1594,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Duke
5,4,Pittsburgh (1),5-0,1588,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Pittsburgh
6,5,Oregon,5-0,1432,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Oregon
7,6,Oklahoma,4-1,1358,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Oklahoma
8,7,Indiana,6-0,1356,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Indiana
9,8,Texas,5-1,1278,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Texas
10,9,Connecticut,5-0,1144,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Connecticut
11,10,Notre Dame,8-1,943,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Notre Dame
12,11,Missouri,4-0,906,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Missouri
13,12,Kentucky,4-1,840,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Kentucky
14,13,Xavier,4-1,811,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Xavier
15,14,Florida,6-2,750,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Florida
16,15,Illinois,5-0,692,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Illinois
17,16,Marquette,5-1,669,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Marquette
18,17,Tulsa,4-0,602,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Tulsa
19,18,Maryland,4-2,601,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Maryland
20,19,Stanford,4-1,561,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Stanford
21,20,Kansas,3-3,407,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Kansas
22,21,Michigan State,4-2,361,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Michigan State
23,22,North Carolina,5-2,349,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),North Carolina
24,23,Creighton,6-0,277,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Creighton
25,24,Mississippi State,5-1,235,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Mississippi State
26,25,Charleston,6-0,152,AP Top 25,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Charleston
2,1,Arizona (31),4-0,775,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Arizona
3,2,Duke,5-0,719,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Duke
4,3,Pittsburgh,5-0,692,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Pittsburgh
5,4,Alabama,6-0,680,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Alabama
6,5,Oregon,5-0,642,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Oregon
7,6,Indiana,6-0,569,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Indiana
8,7,Texas,5-1,568,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Texas
9,8,Oklahoma,4-1,565,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Oklahoma
10,9,Connecticut,5-0,512,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Connecticut
11,10,Missouri,4-0,400,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Missouri
12,11,Xavier,4-1,374,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Xavier
13,12,Kentucky,4-1,355,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Kentucky
14,13,Marquette,5-1,345,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Marquette
15,14,Illinois,5-0,339,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Illinois
16,15,Notre Dame,8-1,337,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Notre Dame
17,16,Maryland,4-2,314,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Maryland
18,17,Florida,6-2,306,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Florida
19,18,Tulsa,4-0,261,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Tulsa
20,19,Kansas,3-3,211,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Kansas
21,20,Stanford,4-1,176,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Stanford
22,21,Michigan State,4-2,141,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Michigan State
23,22,North Carolina,5-2,107,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),North Carolina
24,22,Mississippi State,5-1,107,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Mississippi State
25,24,Creighton,6-0,96,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Creighton
26,25,Minnesota,4-1,92,USA Today Coaches Poll,2002-03,5,2003 NCAA Men's Basketball Rankings -  Week 5 (Dec. 9),Minnesota
2,1,Arizona (69),5-0,1749,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Arizona
3,2,Alabama,7-0,1620,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Alabama
4,3,Duke,5-0,1566,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Duke
5,4,Pittsburgh (1),6-0,1565,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Pittsburgh
6,5,Oregon,6-0,1435,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Oregon
7,6,Indiana,8-0,1392,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Indiana
8,7,Oklahoma,5-1,1326,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Oklahoma
9,8,Connecticut,6-0,1148,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Connecticut
10,9,Notre Dame,9-1,1130,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Notre Dame
11,10,Texas,5-2,1114,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Texas
12,11,Missouri,6-0,1026,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Missouri
13,12,Illinois,7-0,930,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Illinois
14,13,Florida,7-2,866,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Florida
15,14,Marquette,6-1,771,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Marquette
16,15,Michigan State,5-2,639,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Michigan State
17,16,Mississippi State,6-1,625,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Mississippi State
18,17,Stanford,5-1,589,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Stanford
19,18,Kentucky,5-2,525,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Kentucky
20,19,Kansas,5-3,518,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Kansas
21,20,Creighton,7-0,476,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Creighton
22,21,Xavier,5-2,343,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Xavier
23,22,Tulsa,5-1,337,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Tulsa
24,23,North Carolina,5-2,299,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),North Carolina
25,24,Maryland,4-3,248,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Maryland
26,25,Minnesota,6-1,103,AP Top 25,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Minnesota
2,1,Arizona (31),5-0,775,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Arizona
3,2,Duke,5-0,721,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Duke
4,3,Pittsburgh,6-0,691,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Pittsburgh
5,4,Alabama,7-0,686,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Alabama
6,5,Oregon,6-0,649,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Oregon
7,6,Indiana,8-0,616,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Indiana
8,7,Oklahoma,5-1,567,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Oklahoma
9,8,Connecticut,6-0,545,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Connecticut
10,9,Texas,5-2,509,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Texas
11,10,Missouri,6-0,490,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Missouri
12,11,Notre Dame,9-1,443,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Notre Dame
13,12,Illinois,7-0,414,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Illinois
14,13,Florida,7-2,341,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Florida
15,14,Marquette,6-1,330,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Marquette
16,15,Michigan State,5-2,268,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Michigan State
17,16,Kentucky,5-2,250,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Kentucky
18,17,Mississippi State,6-1,241,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Mississippi State
19,18,Kansas,5-3,238,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Kansas
20,19,Creighton,7-0,199,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Creighton
21,20,Xavier,5-2,194,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Xavier
22,21,Stanford,5-1,187,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Stanford
23,22,Tulsa,5-1,170,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Tulsa
24,23,Maryland,4-3,159,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),Maryland
25,24,North Carolina,5-2,88,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),North Carolina
26,25,NC State,5-0,80,USA Today Coaches Poll,2002-03,6,2003 NCAA Men's Basketball Rankings -  Week 6 (Dec. 16),NC State
2,1,Alabama (35),8-0,1718,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Alabama
3,2,Pittsburgh (14),8-0,1673,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Pittsburgh
4,3,Duke (16),6-0,1657,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Duke
5,4,Arizona (5),5-1,1551,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Arizona
6,5,Oklahoma,6-1,1406,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Oklahoma
7,6,Connecticut,7-0,1299,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Connecticut
8,7,Illinois (1),8-0,1279,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Illinois
9,8,Notre Dame,10-1,1250,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Notre Dame
10,9,Texas,7-2,1135,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Texas
11,10,Indiana,8-1,1113,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Indiana
12,11,Oregon,8-1,1029,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Oregon
13,12,Florida,8-2,917,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Florida
14,13,Marquette,7-1,822,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Marquette
15,14,Kentucky,6-2,806,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Kentucky
16,15,Michigan State,7-2,761,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Michigan State
17,16,Mississippi State,7-1,756,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Mississippi State
18,17,Missouri,6-1,726,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Missouri
19,18,Creighton,9-0,614,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Creighton
20,19,Kansas,6-3,585,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Kansas
21,20,Tulsa,6-1,334,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Tulsa
22,21,Xavier,6-2,314,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Xavier
23,22,North Carolina,7-2,296,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),North Carolina
24,23,Maryland,4-3,212,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Maryland
25,24,LSU,7-1,173,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),LSU
26,25,Wake Forest,6-0,87,AP Top 25,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Wake Forest
2,1,Duke (19),6-0,756,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Duke
3,2,Pittsburgh (6),8-0,724,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Pittsburgh
4,3,Alabama (4),8-0,716,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Alabama
5,4,Arizona (1),5-1,679,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Arizona
6,5,Oklahoma,6-1,610,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Oklahoma
7,6,Connecticut (1),7-0,606,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Connecticut
8,7,Illinois,8-0,546,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Illinois
9,8,Notre Dame,10-1,512,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Notre Dame
10,9,Oregon,8-1,508,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Oregon
11,10,Texas,7-2,505,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Texas
12,11,Indiana,8-1,500,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Indiana
13,12,Marquette,7-1,365,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Marquette
14,13,Florida,8-2,354,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Florida
15,14,Kentucky,6-2,332,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Kentucky
16,15,Michigan State,7-2,319,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Michigan State
17,16,Missouri,6-1,305,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Missouri
18,17,Mississippi State,7-1,304,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Mississippi State
19,18,Creighton,9-0,275,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Creighton
20,19,Kansas,6-3,237,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Kansas
21,20,Xavier,6-2,164,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Xavier
22,21,Tulsa,6-1,146,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Tulsa
23,22,Maryland,4-3,109,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Maryland
24,23,North Carolina,7-2,100,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),North Carolina
25,24,NC State,6-1,67,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),NC State
26,25,Texas Tech,7-1,47,USA Today Coaches Poll,2002-03,7,2003 NCAA Men's Basketball Rankings -  Week 7 (Dec. 23),Texas Tech
2,1,Alabama (35),9-0,1720,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Alabama
3,2,Pittsburgh (16),9-0,1688,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Pittsburgh
4,3,Duke (14),7-0,1660,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Duke
5,4,Arizona (5),6-1,1578,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Arizona
6,5,Connecticut,8-0,1384,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Connecticut
7,6,Notre Dame,10-1,1361,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Notre Dame
8,7,Texas,7-2,1237,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Texas
9,8,Mississippi State (1),8-1,1133,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Mississippi State
10,9,Oregon,9-1,1131,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Oregon
11,10,Oklahoma,6-2,1051,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Oklahoma
12,11,Illinois,8-1,1029,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Illinois
13,12,Florida,10-2,1006,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Florida
14,13,Marquette,8-1,961,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Marquette
15,14,Michigan State,8-2,839,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Michigan State
16,15,Creighton,10-0,775,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Creighton
17,16,Missouri,6-1,708,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Missouri
18,17,Indiana,8-2,678,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Indiana
19,18,Kansas,7-3,646,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Kansas
20,19,Xavier,8-2,375,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Xavier
21,20,Kentucky,6-3,374,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Kentucky
22,21,LSU,8-1,308,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),LSU
23,22,Maryland,6-3,267,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Maryland
24,23,Wake Forest,7-0,254,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Wake Forest
25,24,Louisville,7-1,243,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Louisville
26,25,Texas Tech,8-1,133,AP Top 25,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Texas Tech
2,1,Duke (18),7-0,753,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Duke
3,2,Pittsburgh (7),9-0,734,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Pittsburgh
4,3,Alabama (6),9-0,728,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Alabama
5,4,Arizona (1),6-1,681,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Arizona
6,5,Connecticut,8-0,647,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Connecticut
7,6,Notre Dame,10-1,580,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Notre Dame
8,7,Oregon,9-1,536,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Oregon
9,8,Texas,7-2,495,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Texas
10,9,Marquette,8-1,474,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Marquette
11,10,Mississippi State,8-1,457,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Mississippi State
12,11,Oklahoma,6-2,444,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Oklahoma
13,12,Illinois,8-1,426,USA Today Coaches Poll,2002-03,8,2003 NCAA Men's Basketball Rankings -  Week 8 (Dec. 30),Illinois
